Rank,Frequency,Word,Type
1,2694,redacted (twitterusername),Noun
2,1601,sinovac,Noun
3,1554,pfizer,Noun
4,1321,moderna,Noun
5,1109,astrazeneca,Noun
6,1059,vaccine,Noun
7,998,sputnik,Noun
8,846,dose,Noun
9,766,lang,Adverb
10,560,may,Adverb
11,440,covid,Noun
12,432,naman,Adverb
13,382,doses,Noun
14,368,di,Adverb
15,344,hindi,Adverb
16,309,vaccines,Noun
17,302,side,Adjective
18,291,wala,Adjective
19,288,bakuna,Noun
20,248,dumating,Verb
21,245,booster,Noun
22,243,available,Adjective
23,238,qty,Noun
24,230,bansa,Noun
25,196,tapos,Adverb
